,energy_consumed_log_cumsum,energy_consumed_cumsum,energy_consumed_log,energy_consumed,emissions_rate_log_cumsum,emissions_rate_cumsum,emissions_rate_log,emissions_rate,emissions_log_cumsum,emissions_cumsum,emissions_log,emissions,duration_log_cumsum,duration_cumsum,duration_log,duration,timestamp,date
172,2.6685239087382704,14.418670203950668,-1.5027208810797466,0.2225238747066922,7.1044864195646555,1217.4166827610875,3.026913064484103,20.63344007936842,3.5202547859139623,33.79303735699919,-0.6509900039040546,0.5215292051500745,6.163559517035592,475.11625289916947,1.9937190914823368,7.342791557311999,1646006400.0,2022-02-28
175,2.6900093639582603,14.73181386788686,-1.1610932035342965,0.3131436639361912,7.121648508775639,1238.4904138566487,3.048027293086492,21.07373109556118,3.5417402411339522,34.526952162166445,-0.3093623263586047,0.7339148051672513,6.18508917470754,485.45625209808304,2.3360197916057692,10.33999919891356,1646092800.0,2022-03-01
178,2.721900776891926,15.209204090966118,-0.739421044802705,0.47739022307925755,7.138181467666981,1259.1365253327308,3.0275269954322,20.64611147608215,3.5736316540676185,35.645811627997304,0.11230983237298676,1.118859465830856,6.216869704939408,501.1320829391475,2.7521200893289484,15.67583084106445,1646179200.0,2022-03-02
181,2.7425176629358066,15.526025229030184,-1.1494178975807137,0.3168211380640666,7.154260803860716,1279.5462525357548,3.0160116108835293,20.40972720302394,3.5942485401114985,36.38834532927806,-0.29768702040502176,0.7425337012807529,6.237514163410917,511.58521175384476,2.346901341702158,10.45312881469725,1646265600.0,2022-03-03
184,2.755759906250311,15.732991960313583,-1.575197217071042,0.20696673128339982,7.170405069231716,1300.3712365129902,3.0361534186521526,20.824983977235462,3.6074907834260035,36.873413257386964,-0.7234663398953503,0.4850679281089042,6.2507690395712245,518.4113502502437,1.9207591398185198,6.82613849639891,1646352000.0,2022-03-04
187,2.778579031727199,16.09613259633382,-1.012965092694775,0.36314063602023655,7.1862231226083875,1321.1041227950134,3.031721148884261,20.7328862820231,3.630309908902891,37.72450596602759,-0.16123421551908326,0.8510927086406285,6.273545695487559,530.354523658752,2.4801598522583728,11.94317340850829,1646438400.0,2022-03-05
190,2.79729387288741,16.400205625428093,-1.190487379142079,0.3040730290942722,7.201730648888329,1341.750855810542,3.0275570994104566,20.646733015528465,3.6490247500631026,38.43716192431584,-0.3387565019663869,0.7126559582882459,6.292251375549932,540.36853313446,2.30398506015336,10.01400947570799,1646524800.0,2022-03-06
193,2.80888661882729,16.591435339715744,-1.654279880985388,0.1912297142876519,7.217074798699746,1362.4976458232316,3.0323915365260734,20.746790012689562,3.660617496002982,38.885347005691806,-0.8025490038096963,0.44818508137596974,6.303857424485255,546.6766119003291,1.8418311556856624,6.308078765869119,1646611200.0,2022-03-07
196,2.820780512839222,16.789950331052143,-1.616890658601335,0.1985149913363987,7.232195139318916,1383.255612604556,3.032930114258766,20.757966781324434,3.672511390014914,39.350606590886926,-0.7651597814256431,0.4652595851951177,6.315765768491274,553.2255411148067,1.8793015575773397,6.54892921447753,1646697600.0,2022-03-08
199,2.8356585493872872,17.041619353824192,-1.3796404564369105,0.2516690227720473,7.247024564781658,1403.9213503980332,3.028477149889992,20.66573779347716,3.6873894265629796,39.940443279557776,-0.5279095792612184,0.5898366886708474,6.330648758733944,561.5207672119136,2.115680180306134,8.29522609710692,1646784000.0,2022-03-09
202,2.8504237505399197,17.295109099811977,-1.3724319065213348,0.2534897459877863,7.261649366040716,1424.6042944581343,3.0293094021817573,20.682944060101065,3.7021546277156117,40.53454719722935,-0.5207010293456433,0.5941039176715746,6.345419468423361,569.876384735107,2.122934069931702,8.35561752319334,1646870400.0,2022-03-10
205,2.8676624707865015,17.595839301745098,-1.2015417552779817,0.30073020193311906,7.276100763211167,1445.3412953494196,3.03191958729614,20.73700089128533,3.7193933479621935,41.2393685715,-0.3498108781022899,0.7048213742706512,6.362639150762964,579.7744512557979,2.292339437126519,9.8980665206909,1646956800.0,2022-03-11
208,2.8796041504672414,17.80722280343374,-1.5540812516916187,0.21138350168863934,7.29027062378481,1465.9673691649814,3.026555994650289,20.626073815561835,3.731335027642934,41.73478808440767,-0.7023503745159269,0.49541951290766406,6.374593116732262,586.7466449737544,1.9419299124061022,6.9721937179565305,1647043200.0,2022-03-12
211,2.8950038133922686,18.08357040087382,-1.2860957946430136,0.27634759744008386,7.304298578405074,1486.676808829086,3.030589618745213,20.70943966410462,3.746734690567961,42.38246394852799,-0.4343649174673214,0.6476758641203247,6.389988502026582,595.8497285842891,2.2086132144238078,9.10308361053465,1647129600.0,2022-03-13
214,2.9064742997150717,18.292191955778335,-1.5672334104761423,0.20862155490451392,7.318183015120675,1507.4624433957315,3.0342621022672196,20.785634566645502,3.7582051768907636,42.8714102867577,-0.7155025333004504,0.4889463382297093,6.401472677804093,602.7320146560664,1.9289508746277968,6.8822860717773295,1647216000.0,2022-03-14
217,2.9174882255924945,18.494774368074207,-1.5966085009265227,0.20258241229587134,7.331842568170228,1528.194982861559,3.0317044209144304,20.732539465827642,3.7692191027681865,43.346202686455534,-0.7448776237508309,0.4747923996978337,6.412515766355934,609.4249248504634,1.901048786188497,6.69291019439696,1647302400.0,2022-03-15
220,2.9354256865199915,18.829516900910274,-1.0943936013480284,0.33474253283606636,7.345197835464057,1548.741330928204,3.0226832154976946,20.54634806664487,3.7871565636956834,44.13073876066342,-0.24266272417233645,0.7845360742078888,6.430422611736572,620.4360961914058,2.3989103338988027,11.011171340942369,1647388800.0,2022-03-16
223,2.9474705333031004,19.05768692493439,-1.4776642085342413,0.22817002402411568,7.3585079211278295,1569.4930076510918,3.032627049334386,20.751676722887755,3.7992014104787923,44.66550084596874,-0.6259333313585493,0.53476208530532,6.442467988333307,627.9546737670894,2.017376967900485,7.51857757568359,1647475200.0,2022-03-17
