date,duration,emissions,emissions_rate,cpu_power,ram_power,cpu_energy,ram_energy,energy_consumed
2022-05-23,0.0847117900848387,6.025966222683589e-09,2.0687098469955905e-07,15.0,18.0,1.1722048123677572e-07,1.398928960164388e-07,2.5711337725321454e-07
2022-05-24,0.1068916320800779,7.61599951154656e-09,2.0717529955021135e-07,15.0,18.0,1.4809535609351265e-07,1.7686088879903162e-07,3.2495624489254424e-07
2022-05-25,0.07598090171813951,5.399376448790232e-09,2.0598799909297505e-07,15.0,18.0,1.0506510734558108e-07,1.2531320254007974e-07,2.3037830988566084e-07
2022-05-26,0.0752410888671874,5.3493049587806075e-09,2.0751608665287742e-07,15.0,18.0,1.041183869043986e-07,1.24123493830363e-07,2.282418807347616e-07
2022-05-27,0.097862958908081,6.9689443606800505e-09,2.0681732879318636e-07,15.0,18.0,1.3554162449306915e-07,1.6180634498596193e-07,2.97347969479031e-07
2022-05-28,0.1071801185607908,7.636890183422304e-09,2.0718938802328834e-07,15.0,18.0,1.4850431018405492e-07,1.7734328905741374e-07,3.258475992414687e-07
2022-05-29,0.0773682594299315,5.497343284818862e-09,2.065096576910532e-07,15.0,18.0,1.0702146424187556e-07,1.2753685315450035e-07,2.3455831739637588e-07
2022-05-30,0.11391615867614739,8.105742113590239e-09,2.063897874939336e-07,15.0,18.0,1.5759865442911782e-07,1.8825372060139972e-07,3.4585237503051757e-07
2022-05-31,0.1015241146087646,7.2346139793925835e-09,2.0734583991764297e-07,15.0,18.0,1.4065040482415098e-07,1.6803304354349777e-07,3.0868344836764866e-07
2022-06-01,0.0738701820373534,5.246414635777474e-09,2.0711367913634116e-07,15.0,18.0,1.0218918323516847e-07,1.2166261672973633e-07,2.2385179996490483e-07
2022-06-02,0.0955481529235839,6.7982924527592144e-09,2.065028770147358e-07,15.0,18.0,1.3222164577907988e-07,1.5784502029418946e-07,2.9006666607326933e-07
2022-06-03,0.13606595993041978,9.703197885023223e-09,2.0769419609062258e-07,15.0,18.0,1.8861061996883815e-07,2.254013220469157e-07,4.1401194201575385e-07
2022-06-04,0.1258878707885741,8.978990513616141e-09,2.0815475198729742e-07,15.0,18.0,1.7448200119866267e-07,2.0862976710001629e-07,3.83111768298679e-07
2022-06-05,0.0690867900848387,4.913267479472691e-09,2.0832996796125587e-07,15.0,18.0,9.56330034467909e-08,1.1400421460469564e-07,2.0963721805148656e-07
2022-06-06,0.0722129344940184,5.130923787156742e-09,2.0493729745331265e-07,15.0,18.0,9.98725493748983e-08,1.1905153592427574e-07,2.1892408529917405e-07
2022-06-07,0.0755879878997801,5.378377124932078e-09,2.0634230484541763e-07,15.0,18.0,1.0460582044389513e-07,1.248764991760254e-07,2.294823196199205e-07
2022-06-08,0.0817208290100096,5.809818625383908e-09,2.070143904195315e-07,15.0,18.0,1.1305444770389136e-07,1.3483643531799316e-07,2.4789088302188453e-07
2022-06-09,0.0747458934783934,5.2854300104909485e-09,2.0978679949928766e-07,15.0,18.0,1.0324153635236952e-07,1.222749551137289e-07,2.255164914660984e-07
2022-06-10,0.0630896091461181,4.477978146672249e-09,2.0636150832495754e-07,15.0,18.0,8.724828561147053e-08,1.0381619135538738e-07,1.910644769668579e-07
2022-06-11,0.0910840034484862,6.473655851019754e-09,2.079543513662279e-07,15.0,18.0,1.2597176763746475e-07,1.5024344126383463e-07,2.7621520890129944e-07
2022-06-12,0.0726633071899413,5.164210098054674e-09,2.0692065400408094e-07,15.0,18.0,1.0051396158006456e-07,1.1983036994934084e-07,2.2034433152940543e-07
2022-06-13,0.062485933303832904,4.437458718087939e-09,2.075637712005225e-07,15.0,18.0,8.644726541307239e-08,1.028883457183838e-07,1.893356111314562e-07
2022-06-14,0.06506896018981931,4.62218105773131e-09,2.0677485352641691e-07,15.0,18.0,9.004573027292888e-08,1.0717153549194335e-07,1.9721726576487228e-07
2022-06-15,0.0677292346954344,4.812609178622563e-09,2.0807671290976509e-07,15.0,18.0,9.371836980183922e-08,1.1162400245666506e-07,2.0534237225850422e-07
2022-06-16,0.0933270454406736,6.639947710103459e-09,2.0871149314683923e-07,15.0,18.0,1.2923048602210151e-07,1.540799935658773e-07,2.8331047958797883e-07
2022-06-17,0.0636148452758788,4.515508093569015e-09,2.0633868860958207e-07,15.0,18.0,8.793208334181044e-08,1.0473370552062989e-07,1.9266578886244038e-07
